Variant SKU,Variant Price,Variant Cost,Variant Inventory Qty,Variant Command
45107,1599,996.0,58,UPDATE
140551,1289,804.0,43,UPDATE
152018,599,371.0,163,UPDATE
247942,939,582.0,35,UPDATE
828093,829,516.0,87,UPDATE
319316,329,202.0,87,UPDATE
362947,1619,1010.0,39,UPDATE
47206,459,284.0,48,UPDATE
247362,1599,997.0,30,UPDATE
319515,1949,1213.0,68,UPDATE
809791,799,500.0,106,UPDATE
151406,1389,864.0,41,UPDATE
246429,389,242.0,63,UPDATE
322352,429,268.0,18,UPDATE
152233,449,276.0,131,UPDATE
153223,1199,747.0,29,UPDATE
135127,479,296.0,87,UPDATE
152299,239,144.0,135,UPDATE
362392,1479,923.0,192,UPDATE
146913,589,363.0,11,UPDATE
321171,429,267.0,40,UPDATE
350788,439,270.0,160,UPDATE
143223,509,313.0,158,UPDATE
240732,179,111.0,134,UPDATE
805965,599,374.0,106,UPDATE
134430,359,223.0,21,UPDATE
288932,1449,905.0,37,UPDATE
319302,319,197.0,173,UPDATE
353162,1349,838.0,27,UPDATE
807115,319,196.0,67,UPDATE
829654,379,232.0,13,UPDATE
243681,739,460.0,47,UPDATE
326196,629,389.0,15,UPDATE
48780,529,326.0,49,UPDATE
148631,1289,802.0,118,UPDATE
342966,279,175.0,125,UPDATE
816953,559,345.0,14,UPDATE
142667,389,240.0,10,UPDATE
171548,1679,1049.0,176,UPDATE
240199,289,181.0,138,UPDATE
245821,509,318.0,149,UPDATE
310788,319,200.0,61,UPDATE
135104,439,275.0,175,UPDATE
143649,369,229.0,46,UPDATE
147859,549,339.0,109,UPDATE
171433,289,181.0,48,UPDATE
311726,319,200.0,31,UPDATE
828439,539,332.0,129,UPDATE
240144,359,222.0,130,UPDATE
342587,529,329.0,20,UPDATE
144604,709,441.0,43,UPDATE
240110,299,186.0,63,UPDATE
30020,309,189.0,138,UPDATE
41748,4649,2903.0,139,UPDATE
827915,759,472.0,3,UPDATE
92712,679,419.0,41,UPDATE
153772,319,197.0,71,UPDATE
350568,1629,1014.0,14,UPDATE
827211,789,488.0,10,UPDATE
46640,959,597.0,46,UPDATE
284744,1099,687.0,119,UPDATE
44529,1009,630.0,78,UPDATE
153221,849,530.0,109,UPDATE
210393,979,609.0,18,UPDATE
316424,269,168.0,176,UPDATE
808109,839,523.0,189,UPDATE
80250,199,119.0,180,UPDATE
330135,379,236.0,4,UPDATE
827574,279,170.0,6,UPDATE
51225,939,583.0,193,UPDATE
819808,499,309.0,51,UPDATE
44291,499,311.0,100,UPDATE
93597,659,408.0,105,UPDATE
247977,2629,1640.0,4,UPDATE
317150,389,242.0,200,UPDATE
151878,1949,1215.0,1,UPDATE
242645,499,309.0,58,UPDATE
289647,1179,735.0,7,UPDATE
331745,729,452.0,49,UPDATE
50127,499,308.0,36,UPDATE
152708,199,123.0,87,UPDATE
131291,469,288.0,47,UPDATE
282759,609,376.0,15,UPDATE
318861,689,429.0,152,UPDATE
336334,359,224.0,24,UPDATE
823345,649,405.0,7,UPDATE
47210,479,297.0,26,UPDATE
355890,629,388.0,158,UPDATE
364712,1259,785.0,63,UPDATE
824018,779,485.0,39,UPDATE
806220,719,445.0,116,UPDATE
823990,349,213.0,119,UPDATE
824007,459,287.0,35,UPDATE
829925,619,387.0,30,UPDATE
833895,659,411.0,29,UPDATE
319806,1439,894.0,11,UPDATE
151983,1349,838.0,98,UPDATE
151981,1009,630.0,110,UPDATE
151976,639,395.0,54,UPDATE
311938,479,298.0,133,UPDATE
342598,1089,676.0,10,UPDATE
151157,389,243.0,34,UPDATE
43840,739,459.0,100,UPDATE
92695,1709,1064.0,10,UPDATE
815095,699,437.0,41,UPDATE
815076,699,433.0,158,UPDATE
135745,509,316.0,68,UPDATE
142891,659,410.0,0,UPDATE
328056,869,542.0,81,UPDATE
328061,849,526.0,104,UPDATE
821557,549,340.0,38,UPDATE
823677,609,381.0,160,UPDATE
3196923,2369,1481.0,67,UPDATE
3197110,2619,1635.0,16,UPDATE
824487,729,456.0,40,UPDATE
3186087,6329,3952.0,22,UPDATE
824509,509,315.0,53,UPDATE
3197062,2219,1385.0,16,UPDATE
362579,2379,1487.0,77,UPDATE
336238,1099,683.0,45,UPDATE
832769,519,325.0,114,UPDATE
821188,809,502.0,39,UPDATE
141134,2409,1504.0,53,UPDATE
41577,439,273.0,49,UPDATE
47066,699,433.0,160,UPDATE
93740,439,275.0,47,UPDATE
135150,309,192.0,171,UPDATE
153062,489,301.0,183,UPDATE
311240,399,244.0,111,UPDATE
313995,379,237.0,55,UPDATE
315459,979,608.0,9,UPDATE
325169,309,192.0,7,UPDATE
40249,329,201.0,137,UPDATE
42335,329,206.0,38,UPDATE
43695,2259,1409.0,17,UPDATE
43725,639,398.0,195,UPDATE
44508,859,535.0,118,UPDATE
44569,399,246.0,99,UPDATE
46559,359,224.0,80,UPDATE
47194,839,523.0,18,UPDATE
47381,689,426.0,115,UPDATE
47383,699,435.0,49,UPDATE
47977,3179,1985.0,116,UPDATE
51204,1449,904.0,29,UPDATE
51453,1079,674.0,55,UPDATE
91263,419,257.0,32,UPDATE
92164,359,223.0,114,UPDATE
92166,739,458.0,130,UPDATE
92987,579,359.0,63,UPDATE
